what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858397123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858401104
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1715858421699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858422052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858424130
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1715858430461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858433762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858436455
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1715858436468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1715858436468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858436491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858440092
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715858441675
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1715858443729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858444068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858448831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858448867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858452390
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1715858456309
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1715858456548
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1715858462181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858465210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858567426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858567520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858569781
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858570027
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1715858570385
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1715858570385
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1715858570385
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1715858571386
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1715858571386
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1715858571386
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1715858571386
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1715858571386
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1715858571386
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1715858571386
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1715858571386
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1715858571386
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1715858571386
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1715858571387
